Date,Time,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Hour,DayOfWeek,Month,CO(GT)_lag1,CO(GT)_lag24,NMHC(GT)_lag1,NMHC(GT)_lag24,C6H6(GT)_lag1,C6H6(GT)_lag24,NOx(GT)_lag1,NOx(GT)_lag24,NO2(GT)_lag1,NO2(GT)_lag24
2004-03-11,18:00:00,4.8,307.0,20.8,281.0,151.0,10.3,64.2,0.8065,18.0,3.0,3.0,2.9,2.6,150.0,150.0,11.2,11.9,243.0,166.0,135.0,113.0
2004-03-11,19:00:00,6.9,461.0,27.4,383.0,172.0,9.7,69.3,0.8319,19.0,3.0,3.0,4.8,2.0,307.0,112.0,20.8,9.4,281.0,103.0,151.0,92.0
2004-03-11,20:00:00,6.1,401.0,24.0,351.0,165.0,9.6,67.8,0.8133,20.0,3.0,3.0,6.9,2.2,461.0,88.0,27.4,9.0,383.0,131.0,172.0,114.0
2004-03-11,21:00:00,3.9,197.0,12.8,240.0,136.0,9.1,64.0,0.7419,21.0,3.0,3.0,6.1,2.2,401.0,80.0,24.0,9.2,351.0,172.0,165.0,122.0
2004-03-11,22:00:00,1.5,61.0,4.7,94.0,85.0,8.2,63.4,0.6905,22.0,3.0,3.0,3.9,1.6,197.0,51.0,12.8,6.5,240.0,131.0,136.0,116.0
2004-03-11,23:00:00,1.0,26.0,2.6,47.0,53.0,8.2,60.8,0.6657,23.0,3.0,3.0,1.5,1.2,61.0,38.0,4.7,4.7,94.0,89.0,85.0,96.0
2004-03-12,0:00:00,1.7,55.0,5.9,122.0,97.0,8.3,58.5,0.6438,0.0,4.0,3.0,1.0,1.2,26.0,31.0,2.6,3.6,47.0,62.0,53.0,77.0
2004-03-12,1:00:00,1.9,53.0,6.4,133.0,110.0,7.7,59.7,0.6308,1.0,4.0,3.0,1.7,1.0,55.0,31.0,5.9,3.3,122.0,62.0,97.0,76.0
2004-03-12,2:00:00,1.4,40.0,4.1,82.0,91.0,7.1,61.8,0.6276,2.0,4.0,3.0,1.9,0.9,53.0,24.0,6.4,2.3,133.0,45.0,110.0,60.0
2004-03-12,3:00:00,0.8,21.0,1.9,51.5,61.5,7.0,62.3,0.6261,3.0,4.0,3.0,1.4,0.6,40.0,19.0,4.1,1.7,82.0,33.0,91.0,47.0
2004-03-12,4:00:00,0.7,10.0,1.1,21.0,32.0,6.1,65.9,0.6248,4.0,4.0,3.0,0.8,0.6499999999999999,21.0,14.0,1.9,1.3,51.5,21.0,61.5,34.0
2004-03-12,5:00:00,0.6,7.0,1.0,30.0,44.0,6.3,65.0,0.6233,5.0,4.0,3.0,0.7,0.7,10.0,8.0,1.1,1.1,21.0,16.0,32.0,28.0
2004-03-12,6:00:00,0.8,17.0,1.8,56.0,71.0,6.8,62.9,0.6234,6.0,4.0,3.0,0.6,0.7,7.0,16.0,1.0,1.6,30.0,34.0,44.0,48.0
2004-03-12,7:00:00,1.4,33.0,4.4,109.0,104.0,6.4,65.1,0.6316,7.0,4.0,3.0,0.8,1.1,17.0,29.0,1.8,3.2,56.0,98.0,71.0,82.0
2004-03-12,8:00:00,4.4,202.0,17.9,307.0,141.0,7.3,63.1,0.6499,8.0,4.0,3.0,1.4,2.0,33.0,64.0,4.4,8.0,109.0,174.0,104.0,112.0
2004-03-12,9:00:00,3.75,205.0,22.1,247.0,131.5,9.2,56.2,0.6561,9.0,4.0,3.0,4.4,2.2,202.0,87.0,17.9,9.5,307.0,129.0,141.0,101.0
2004-03-12,10:00:00,3.1,208.0,14.0,187.0,122.0,13.2,41.7,0.632,10.0,4.0,3.0,3.75,1.7,205.0,77.0,22.1,6.3,247.0,112.0,131.5,98.0
2004-03-12,11:00:00,2.7,166.0,11.6,216.0,143.0,14.3,38.4,0.6243,11.0,4.0,3.0,3.1,1.5,208.0,43.0,14.0,5.0,187.0,95.0,122.0,92.0
2004-03-12,12:00:00,2.1,114.0,10.2,143.0,113.0,15.0,36.5,0.6195,12.0,4.0,3.0,2.7,1.6,166.0,61.0,11.6,5.2,216.0,104.0,143.0,95.0
2004-03-12,13:00:00,2.5,140.0,11.0,160.0,116.0,16.1,34.5,0.6262,13.0,4.0,3.0,2.1,1.9,114.0,63.0,10.2,7.3,143.0,146.0,113.0,112.0
2004-03-12,14:00:00,2.7,169.0,12.8,163.0,123.0,16.3,35.7,0.656,14.0,4.0,3.0,2.5,2.9,140.0,164.0,11.0,11.5,160.0,207.0,116.0,128.0
2004-03-12,15:00:00,2.9,185.0,14.2,190.0,126.0,15.8,37.0,0.661,15.0,4.0,3.0,2.7,2.2,169.0,79.0,12.8,8.8,163.0,184.0,123.0,126.0
2004-03-12,16:00:00,2.8,165.0,12.7,178.0,120.0,15.9,37.2,0.6657,16.0,4.0,3.0,2.9,2.2,185.0,95.0,14.2,8.3,190.0,193.0,126.0,131.0
2004-03-12,17:00:00,2.4,133.0,11.7,150.0,119.0,16.9,34.3,0.6549,17.0,4.0,3.0,2.8,2.9,165.0,150.0,12.7,11.2,178.0,243.0,120.0,135.0
2004-03-12,18:00:00,3.9,233.0,19.3,206.0,149.0,15.1,39.6,0.6766,18.0,4.0,3.0,2.4,4.8,133.0,307.0,11.7,20.8,150.0,281.0,119.0,151.0
2004-03-12,19:00:00,3.7,242.0,18.2,202.0,145.0,14.4,43.4,0.7084,19.0,4.0,3.0,3.9,6.9,233.0,461.0,19.3,27.4,206.0,383.0,149.0,172.0
2004-03-12,20:00:00,6.6,488.0,32.6,340.0,170.0,12.9,50.5,0.7478,20.0,4.0,3.0,3.7,6.1,242.0,401.0,18.2,24.0,202.0,351.0,145.0,165.0
2004-03-12,21:00:00,4.4,333.0,20.1,274.0,149.0,12.1,53.3,0.7536,21.0,4.0,3.0,6.6,3.9,488.0,197.0,32.6,12.8,340.0,240.0,170.0,136.0
2004-03-12,22:00:00,3.5,215.0,14.3,253.0,139.0,11.0,59.1,0.774,22.0,4.0,3.0,4.4,1.5,333.0,61.0,20.1,4.7,274.0,94.0,149.0,85.0
2004-03-12,23:00:00,5.4,367.0,21.8,300.0,134.0,9.7,64.6,0.7771,23.0,4.0,3.0,3.5,1.0,215.0,26.0,14.3,2.6,253.0,47.0,139.0,53.0
2004-03-13,0:00:00,2.7,122.0,9.6,193.0,113.0,9.5,64.1,0.7597,0.0,5.0,3.0,5.4,1.7,367.0,55.0,21.8,5.9,300.0,122.0,134.0,97.0
2004-03-13,1:00:00,1.9,67.0,7.4,139.0,97.0,9.1,63.9,0.7423,1.0,5.0,3.0,2.7,1.9,122.0,53.0,9.6,6.4,193.0,133.0,113.0,110.0
2004-03-13,2:00:00,1.6,43.0,5.4,83.0,82.0,8.8,63.9,0.7256,2.0,5.0,3.0,1.9,1.4,67.0,40.0,7.4,4.1,139.0,82.0,97.0,91.0
2004-03-13,3:00:00,1.7,46.0,5.4,96.0,82.5,7.8,67.5,0.7173,3.0,5.0,3.0,1.6,0.8,43.0,21.0,5.4,1.9,83.0,51.5,82.0,61.5
2004-03-13,4:00:00,1.35,56.0,6.2,109.0,83.0,7.0,71.1,0.7158,4.0,5.0,3.0,1.7,0.7,46.0,10.0,5.4,1.1,96.0,21.0,82.5,32.0
2004-03-13,5:00:00,1.0,30.0,2.6,62.0,65.0,8.3,63.6,0.6982,5.0,5.0,3.0,1.35,0.6,56.0,7.0,6.2,1.0,109.0,30.0,83.0,44.0
2004-03-13,6:00:00,1.2,27.0,2.9,53.0,60.0,7.2,67.5,0.6887,6.0,5.0,3.0,1.0,0.8,30.0,17.0,2.6,1.8,62.0,56.0,65.0,71.0
2004-03-13,7:00:00,1.5,47.0,5.1,139.0,77.0,6.3,71.9,0.6932,7.0,5.0,3.0,1.2,1.4,27.0,33.0,2.9,4.4,53.0,109.0,60.0,104.0
2004-03-13,8:00:00,2.7,132.0,11.8,256.0,96.0,6.5,71.6,0.6945,8.0,5.0,3.0,1.5,4.4,47.0,202.0,5.1,17.9,139.0,307.0,77.0,141.0
2004-03-13,9:00:00,3.7,239.0,15.1,295.0,119.0,9.6,59.7,0.7124,9.0,5.0,3.0,2.7,3.75,132.0,205.0,11.8,22.1,256.0,247.0,96.0,131.5
2004-03-13,10:00:00,3.2,160.0,12.9,250.0,126.0,12.4,51.2,0.7335,10.0,5.0,3.0,3.7,3.1,239.0,208.0,15.1,14.0,295.0,187.0,119.0,122.0
2004-03-13,11:00:00,4.1,283.0,16.1,296.0,158.0,15.6,42.2,0.7451,11.0,5.0,3.0,3.2,2.7,160.0,166.0,12.9,11.6,250.0,216.0,126.0,143.0
2004-03-13,12:00:00,3.6,210.0,14.0,239.0,161.0,18.4,33.8,0.709,12.0,5.0,3.0,4.1,2.1,283.0,114.0,16.1,10.2,296.0,143.0,158.0,113.0
2004-03-13,13:00:00,2.8,154.0,12.3,153.0,124.0,19.4,31.3,0.695,13.0,5.0,3.0,3.6,2.5,210.0,140.0,14.0,11.0,239.0,160.0,161.0,116.0
2004-03-13,14:00:00,2.0,112.0,8.6,118.0,102.0,18.0,34.8,0.7127,14.0,5.0,3.0,2.8,2.7,154.0,169.0,12.3,12.8,153.0,163.0,124.0,123.0
2004-03-13,15:00:00,2.0,108.0,9.2,119.0,116.0,18.4,33.6,0.7042,15.0,5.0,3.0,2.0,2.9,112.0,185.0,8.6,14.2,118.0,190.0,102.0,126.0
2004-03-13,16:00:00,2.5,111.0,10.2,138.0,124.0,17.6,35.1,0.7012,16.0,5.0,3.0,2.0,2.8,108.0,165.0,9.2,12.7,119.0,178.0,116.0,120.0
2004-03-13,17:00:00,2.3,97.0,10.6,148.0,125.0,16.7,37.8,0.7117,17.0,5.0,3.0,2.5,2.4,111.0,133.0,10.2,11.7,138.0,150.0,124.0,119.0
2004-03-13,18:00:00,3.2,191.0,15.5,227.0,148.0,16.1,41.0,0.7451,18.0,5.0,3.0,2.3,3.9,97.0,233.0,10.6,19.3,148.0,206.0,125.0,149.0
2004-03-13,19:00:00,4.2,258.0,19.6,277.0,165.0,15.8,42.4,0.7569,19.0,5.0,3.0,3.2,3.7,191.0,242.0,15.5,18.2,227.0,202.0,148.0,145.0
2004-03-13,20:00:00,4.2,284.0,19.2,279.0,161.0,15.7,44.1,0.7786,20.0,5.0,3.0,4.2,6.6,258.0,488.0,19.6,32.6,277.0,340.0,165.0,170.0
2004-03-13,21:00:00,4.2,269.0,18.3,283.0,159.0,15.3,46.8,0.8091,21.0,5.0,3.0,4.2,4.4,284.0,333.0,19.2,20.1,279.0,274.0,161.0,149.0
2004-03-13,22:00:00,3.1,180.0,13.1,214.0,143.0,14.6,48.6,0.806,22.0,5.0,3.0,4.2,3.5,269.0,215.0,18.3,14.3,283.0,253.0,159.0,139.0
